sample_id,sample_alias,fun_experiment_id,bac_experiment_id,bioproject_id
e281aa535d06,Greenland.ISR1,ERX3292222,ERX3292186,PRJEB30970
6d68d9060b92,Greenland.ISR2,ERX3292223,ERX3292187,PRJEB30970
05bfafb6890d,Greenland.ISR3,ERX3292224,ERX3292188,PRJEB30970
9cdf8d1f98fd,Greenland.ITL1,ERX3292225,ERX3292189,PRJEB30970
70c4e1373225,Greenland.ITL2,ERX3292226,ERX3292190,PRJEB30970
c4401dc2f488,Greenland.ITL3,ERX3292227,ERX3292191,PRJEB30970
5e63cd7f37bf,Greenland.MWR1,ERX3292228,ERX3292192,PRJEB30970
bbe64cff4ead,Greenland.MWR2,ERX3292229,ERX3292193,PRJEB30970
140978cad48c,Greenland.MWR3,ERX3292230,ERX3292194,PRJEB30970
4c3b88a01e57,Greenland.SGR1,ERX3292231,ERX3292195,PRJEB30970
8d68857ef424,Greenland.SGR2,ERX3292232,ERX3292196,PRJEB30970
6c4118c7ae8c,Greenland.SGR3,ERX3292233,ERX3292197,PRJEB30970
739c9a7dfdec,Greenland.TLM1,ERX3292234,ERX3292198,PRJEB30970
e17260a9bec3,Greenland.TLM2,ERX3292235,ERX3292199,PRJEB30970
9c2242c218dc,Greenland.TLM3,ERX3292236,ERX3292200,PRJEB30970
a8688c0a7727,Greenland.TLU1,ERX3292237,ERX3292201,PRJEB30970
da86b89fa25f,Greenland.TLU2,ERX3292238,ERX3292202,PRJEB30970
c3be596ea228,Greenland.TLU3,ERX3292239,ERX3292203,PRJEB30970
1e1c6106d2e9,NsDNAB722ADN,ERX3237795,ERX3237735,PRJEB31590
735a45e21bb9,NsDNAB722BDN,ERX3237796,ERX3237736,PRJEB31590
853d07312430,NsDNAB722CDN,ERX3237797,ERX3237737,PRJEB31590
a29d14797e1d,NsDNAB722G,ERX3237798,ERX3237738,PRJEB31590
5e08b333d49c,NsDNAB722H,ERX3237799,ERX3237739,PRJEB31590
31106d9ba11f,NsDNAB722I,ERX3237800,ERX3237740,PRJEB31590
f7a77ec58484,NsDNAPP695A,ERX3237801,ERX3237741,PRJEB31590
cfc1964ba483,NsDNAPP695AD,ERX3237802,ERX3237742,PRJEB31590
8c71684cc648,NsDNAPP695B,ERX3237803,ERX3237743,PRJEB31590
e694c13dce20,NsDNAPP695BD,ERX3237804,ERX3237744,PRJEB31590
7065df6629d5,NsDNAPP695C,ERX3237805,ERX3237745,PRJEB31590
398f3fc8be34,NsDNAPP695CD,ERX3237806,ERX3237746,PRJEB31590
3b81c7a9704d,NwDNA300696A,ERX3237885,ERX3237825,PRJEB31590
88af8457047e,NwDNA300696B,ERX3237886,ERX3237826,PRJEB31590
fc974fb9f7ab,NwDNA300696C,ERX3237887,ERX3237827,PRJEB31590
